板块代码,板块名称,代码,名称,信号,评分,价格,年涨,5日,中枢,MA60,操作建议,买入,止损,TP1,TP2,R:R
BK0877,PCB,002463,沪电股份,Hold,60,143,+102%,-2.2%,67~75,110,🟡观望,0,0,0,0,0
BK0877,PCB,002384,东山精密,Hold,63,257,+214%,+0.1%,67~78,191,🟡观望,0,0,0,0,0
BK0877,PCB,002916,深南电路,Sell-一卖,60,431,+92%,-2.8%,189~236,330,🔴卖出,0,0,0,0,0
BK0877,PCB,300476,胜宏科技,Buy-二买,55,343,+16%,-5.1%,258~307,329,🟢买入,0,0,0,0,0
BK0877,PCB,603228,景旺电子,Sell-二卖,60,72,+1%,-9.7%,59~70,70,🔴卖出,0,0,0,0,0
BK0877,PCB,002815,崇达技术,Buy-二买,55,18,+33%,-10.6%,14~16,15,🟢买入,0,0,0,0,0
BK0877,PCB,603920,世运电路,Buy-中枢内买点,70,52,+23%,-12.5%,50~62,57,🔥中枢内买,50,48,62,68,6.0
BK0877,PCB,300657,弘信电子,Buy-三买,60,44,+60%,-7.4%,28~31,39,🟢买入,0,0,0,0,0
BK0877,PCB,300739,明阳电路,Sell-二卖,70,31,+77%,-1.2%,26~32,29,🔴卖出,0,0,0,0,0
BK0877,PCB,002371,北方华创,Buy-三买,53,770,+65%,+9.4%,455~474,567,🟢买入,0,0,0,0,0
BK0877,PCB,002579,中京电子,Sell-一卖,60,19,+62%,+4.8%,11~12,14,🔴卖出,0,0,0,0,0
BK0877,PCB,300576,容大感光,Hold,53,52,+43%,+3.1%,32~37,37,🟡观望,0,0,0,0,0
BK0877,PCB,688183,生益电子,Sell-一卖,60,136,+36%,-3.2%,106~122,110,🔴卖出,0,0,0,0,0
BK0877,PCB,002636,金安国纪,Buy-三买,53,115,+633%,+21.0%,14~17,52,🟢买入,0,0,0,0,0
BK0877,PCB,300252,金信诺,Hold,73,17,+20%,-3.6%,-,15,🟡观望,0,0,0,0,0
BK0891,半导体,688981,中芯国际,Buy-三买,68,151,+26%,+12.5%,110~110,119,🟢买入,0,0,0,0,0
BK0891,半导体,688041,海光信息,Buy-二买,73,337,+57%,+9.4%,-,283,🟢买入,0,0,0,0,0
BK0891,半导体,002371,北方华创,Buy-三买,53,770,+65%,+9.4%,455~474,567,🟢买入,0,0,0,0,0
BK0891,半导体,688012,中微公司,Hold,53,383,+109%,+9.1%,222~252,265,🟡观望,0,0,0,0,0
BK0891,半导体,603986,兆易创新,Sell-二卖,68,705,+226%,+20.3%,-,392,🔴卖出,0,0,0,0,0
BK0891,半导体,603893,瑞芯微,Sell-二卖,70,185,+6%,+5.4%,-,174,🔴卖出,0,0,0,0,0
BK0891,半导体,688008,澜起科技,Hold,70,266,+121%,+1.5%,-,206,🟡观望,0,0,0,0,0
BK0891,半导体,688256,寒武纪,Sell-一卖,60,1453,+69%,+10.1%,797~1025,1107,🔴卖出,0,0,0,0,0
BK0891,半导体,688521,芯原股份,Buy-二买,63,300,+133%,+16.9%,190~237,248,🟢买入,0,0,0,0,0
BK0891,半导体,688111,金山办公,Buy-一买,53,215,-29%,-0.1%,290~324,241,🟢买入,0,0,0,0,0
BK0891,半导体,688126,沪硅产业,Buy-一买,60,32,+54%,+0.5%,22~22,24,🟢买入,0,0,0,0,0
BK0891,半导体,300474,景嘉微,Sell-二卖,55,55,-27%,+2.0%,69~70,60,🔴卖出,0,0,0,0,0
BK0891,半导体,688396,华润微,Hold,63,84,+53%,+14.7%,50~55,59,🟡观望,0,0,0,0,0
BK0891,半导体,002049,紫光国微,Hold,60,83,+8%,+4.5%,73~77,75,🟡观望,0,0,0,0,0
BK0891,半导体,300604,长川科技,Hold,58,307,+225%,+16.4%,119~144,191,🟡观望,0,0,0,0,0
BK1650,AI概念,002475,立讯精密,Buy-中枢内买点,80,75,+30%,+11.5%,67~78,65,🔥中枢内买,67,65,78,85,5.5
BK1650,AI概念,002837,英维克,Buy-中枢内买点,73,82,+14%,+11.0%,72~83,74,🔥中枢内买,72,70,83,91,5.5
BK1650,AI概念,603019,中科曙光,Hold,70,88,+2%,+2.8%,84~93,88,🟡观望,0,0,0,0,0
BK1650,AI概念,300033,同花顺,Buy-中枢内买点,70,240,+8%,+10.5%,225~251,228,🔥中枢内买,225,218,251,277,3.7
BK1650,AI概念,000977,浪潮信息,Buy-二买,70,64,+1%,+0.5%,-,66,🟢买入,0,0,0,0,0
BK1650,AI概念,300394,天孚通信,Buy-三买,63,325,+105%,-1.2%,217~276,270,🟢买入,0,0,0,0,0
BK1650,AI概念,601138,工业富联,Buy-三买,60,76,+27%,+5.7%,57~67,65,🟢买入,0,0,0,0,0
BK1650,AI概念,002230,科大讯飞,Hold,78,42,-13%,+2.4%,-,46,🟡观望,0,0,0,0,0
BK1650,AI概念,688256,寒武纪,Sell-一卖,60,1453,+69%,+10.1%,797~1025,1107,🔴卖出,0,0,0,0,0
BK1650,AI概念,300502,新易盛,Hold,60,555,+68%,-0.5%,265~308,438,🟡观望,0,0,0,0,0
BK1650,AI概念,300308,中际旭创,Buy-一买,60,1312,+113%,+2.8%,558~598,968,🟢买入,0,0,0,0,0
BK1650,AI概念,002415,海康威视,Hold,68,34,+19%,+5.2%,27~31,31,🟡观望,0,0,0,0,0
BK1650,AI概念,688111,金山办公,Buy-一买,53,215,-29%,-0.1%,290~324,241,🟢买入,0,0,0,0,0
BK1650,AI概念,688041,海光信息,Buy-二买,73,337,+57%,+9.4%,-,283,🟢买入,0,0,0,0,0
BK1650,AI概念,688008,澜起科技,Hold,70,266,+121%,+1.5%,-,206,🟡观望,0,0,0,0,0
BK1680,存储芯片,603986,兆易创新,Sell-二卖,68,705,+226%,+20.3%,-,392,🔴卖出,0,0,0,0,0
BK1680,存储芯片,688256,寒武纪,Sell-一卖,60,1453,+69%,+10.1%,797~1025,1107,🔴卖出,0,0,0,0,0
BK1680,存储芯片,688008,澜起科技,Hold,70,266,+121%,+1.5%,-,206,🟡观望,0,0,0,0,0
BK1680,存储芯片,688525,佰维存储,Hold,58,417,+287%,+12.7%,114~142,295,🟡观望,0,0,0,0,0
BK1680,存储芯片,301308,江波龙,Sell-一卖,63,619,+154%,+8.4%,236~281,464,🔴卖出,0,0,0,0,0
BK1680,存储芯片,001308,德明利,Buy-二买,60,21,+5%,+2.0%,19~20,20,🟢买入,0,0,0,0,0
BK1680,存储芯片,688110,东芯股份,Hold,58,171,+46%,+12.3%,116~122,134,🟡观望,0,0,0,0,0
BK1680,存储芯片,603893,瑞芯微,Sell-二卖,70,185,+6%,+5.4%,-,174,🔴卖出,0,0,0,0,0
BK1680,存储芯片,300857,协创数据,Hold,53,340,+248%,+27.4%,143~169,234,🟡观望,0,0,0,0,0
BK1680,存储芯片,002916,深南电路,Sell-一卖,60,431,+92%,-2.8%,189~236,330,🔴卖出,0,0,0,0,0
BK1680,存储芯片,300474,景嘉微,Sell-二卖,55,55,-27%,+2.0%,69~70,60,🔴卖出,0,0,0,0,0
BK1680,存储芯片,300223,北京君正,Buy-二买,58,197,+110%,+15.2%,119~133,136,🟢买入,0,0,0,0,0
BK1680,存储芯片,688041,海光信息,Buy-二买,73,337,+57%,+9.4%,-,283,🟢买入,0,0,0,0,0
BK1128,光刻胶,300576,容大感光,Hold,53,52,+43%,+3.1%,32~37,37,🟡观望,0,0,0,0,0
BK1128,光刻胶,300655,晶瑞电材,Buy-二买,58,18,+9%,+8.8%,12~13,14,🟢买入,0,0,0,0,0
BK1128,光刻胶,688019,安集科技,Hold,58,264,+63%,+7.6%,193~217,212,🟡观望,0,0,0,0,0
BK1128,光刻胶,002409,雅克科技,Hold,63,173,+136%,+17.0%,-,104,🟡观望,0,0,0,0,0
BK1128,光刻胶,300346,南大光电,Buy-二买,63,77,+69%,+17.9%,-,54,🟢买入,0,0,0,0,0
BK1128,光刻胶,688126,沪硅产业,Buy-一买,60,32,+54%,+0.5%,22~22,24,🟢买入,0,0,0,0,0
BK1128,光刻胶,688041,海光信息,Buy-二买,73,337,+57%,+9.4%,-,283,🟢买入,0,0,0,0,0
BK1128,光刻胶,002371,北方华创,Buy-三买,53,770,+65%,+9.4%,455~474,567,🟢买入,0,0,0,0,0
BK1128,光刻胶,300398,飞凯材料,Sell-一卖,63,54,+137%,+16.6%,21~25,35,🔴卖出,0,0,0,0,0
BK1128,光刻胶,300236,上海新阳,Hold,68,114,+73%,+7.4%,73~84,91,🟡观望,0,0,0,0,0
BK1408,先进封装,002371,北方华创,Buy-三买,53,770,+65%,+9.4%,455~474,567,🟢买入,0,0,0,0,0
BK1408,先进封装,688981,中芯国际,Buy-三买,68,151,+26%,+12.5%,110~110,119,🟢买入,0,0,0,0,0
BK1408,先进封装,002916,深南电路,Sell-一卖,60,431,+92%,-2.8%,189~236,330,🔴卖出,0,0,0,0,0
BK1408,先进封装,603005,晶方科技,Sell-一卖,68,49,+79%,+7.6%,28~32,35,🔴卖出,0,0,0,0,0
BK1408,先进封装,688012,中微公司,Hold,53,383,+109%,+9.1%,222~252,265,🟡观望,0,0,0,0,0
BK1408,先进封装,002384,东山精密,Hold,63,257,+214%,+0.1%,67~78,191,🟡观望,0,0,0,0,0
BK1408,先进封装,002463,沪电股份,Hold,60,143,+102%,-2.2%,67~75,110,🟡观望,0,0,0,0,0
BK1408,先进封装,300476,胜宏科技,Buy-二买,55,343,+16%,-5.1%,258~307,329,🟢买入,0,0,0,0,0
BK1408,先进封装,600584,长电科技,Hold,60,94,+158%,+16.0%,35~37,59,🟡观望,0,0,0,0,0
BK1408,先进封装,002185,华天科技,Buy-二买,70,20,+93%,+10.1%,-,15,🟢买入,0,0,0,0,0
BK1036,CPO,300308,中际旭创,Buy-一买,60,1312,+113%,+2.8%,558~598,968,🟢买入,0,0,0,0,0
BK1036,CPO,300394,天孚通信,Buy-三买,63,325,+105%,-1.2%,217~276,270,🟢买入,0,0,0,0,0
BK1036,CPO,300502,新易盛,Hold,60,555,+68%,-0.5%,265~308,438,🟡观望,0,0,0,0,0
BK1036,CPO,688111,金山办公,Buy-一买,53,215,-29%,-0.1%,290~324,241,🟢买入,0,0,0,0,0
BK1036,CPO,002475,立讯精密,Buy-中枢内买点,80,75,+30%,+11.5%,67~78,65,🔥中枢内买,67,65,78,85,5.5
BK1036,CPO,688041,海光信息,Buy-二买,73,337,+57%,+9.4%,-,283,🟢买入,0,0,0,0,0
BK1036,CPO,002837,英维克,Buy-中枢内买点,73,82,+14%,+11.0%,72~83,74,🔥中枢内买,72,70,83,91,5.5
BK1036,CPO,603019,中科曙光,Hold,70,88,+2%,+2.8%,84~93,88,🟡观望,0,0,0,0,0
BK1036,CPO,688313,仕佳光子,Buy-二买,73,203,+109%,+19.9%,-,146,🟢买入,0,0,0,0,0
BK1036,CPO,300620,光库科技,Hold,63,406,+157%,+2.7%,140~169,270,🟡观望,0,0,0,0,0
BK1138,EDA,688256,寒武纪,Sell-一卖,60,1453,+69%,+10.1%,797~1025,1107,🔴卖出,0,0,0,0,0
BK1138,EDA,688111,金山办公,Buy-一买,53,215,-29%,-0.1%,290~324,241,🟢买入,0,0,0,0,0
BK1138,EDA,688041,海光信息,Buy-二买,73,337,+57%,+9.4%,-,283,🟢买入,0,0,0,0,0
BK1138,EDA,300474,景嘉微,Sell-二卖,55,55,-27%,+2.0%,69~70,60,🔴卖出,0,0,0,0,0
BK1138,EDA,603986,兆易创新,Sell-二卖,68,705,+226%,+20.3%,-,392,🔴卖出,0,0,0,0,0
BK1138,EDA,688981,中芯国际,Buy-三买,68,151,+26%,+12.5%,110~110,119,🟢买入,0,0,0,0,0
BK1138,EDA,688521,芯原股份,Buy-二买,63,300,+133%,+16.9%,190~237,248,🟢买入,0,0,0,0,0
BK1138,EDA,002371,北方华创,Buy-三买,53,770,+65%,+9.4%,455~474,567,🟢买入,0,0,0,0,0
BK1624,铜缆高速,300308,中际旭创,Buy-一买,60,1312,+113%,+2.8%,558~598,968,🟢买入,0,0,0,0,0
BK1624,铜缆高速,300394,天孚通信,Buy-三买,63,325,+105%,-1.2%,217~276,270,🟢买入,0,0,0,0,0
BK1624,铜缆高速,002475,立讯精密,Buy-中枢内买点,80,75,+30%,+11.5%,67~78,65,🔥中枢内买,67,65,78,85,5.5
BK1624,铜缆高速,300502,新易盛,Hold,60,555,+68%,-0.5%,265~308,438,🟡观望,0,0,0,0,0
BK1624,铜缆高速,002837,英维克,Buy-中枢内买点,73,82,+14%,+11.0%,72~83,74,🔥中枢内买,72,70,83,91,5.5
BK1624,铜缆高速,688041,海光信息,Buy-二买,73,337,+57%,+9.4%,-,283,🟢买入,0,0,0,0,0
BK1624,铜缆高速,603019,中科曙光,Hold,70,88,+2%,+2.8%,84~93,88,🟡观望,0,0,0,0,0
BK1624,铜缆高速,300033,同花顺,Buy-中枢内买点,70,240,+8%,+10.5%,225~251,228,🔥中枢内买,225,218,251,277,3.7
