code,name,price,score,signal,pos,zs,ytd,ma20,ajiao,bi_cnt,zs_cnt,in_zs,entry,stop,tp1,tp2
002475,,75,80,Buy-中枢内买点,内,67~78,+30%,69,,17,2,True,67,65,78,85
300866,,108,75,Buy-中枢内买点,内,104~112,-4%,115,,12,1,True,104,101,112,123
600516,,6,73,Buy-中枢内买点,内,5~6,+8%,5,,15,2,True,5,5,6,6
601066,,27,73,Hold,内,25~27,+3%,25,,9,1,True,0,0,0,0
601108,,8,73,Hold,内,8~8,+0%,7,,11,1,True,0,0,0,0
601688,,20,73,Hold,内,20~23,-10%,19,,11,1,True,0,0,0,0
601985,,8,73,Hold,内,8~9,+1%,9,,14,2,True,0,0,0,0
603515,,17,73,Hold,内,17~18,-2%,18,,10,1,True,0,0,0,0
000001,,10,70,Sell-二卖,内,10~10,-6%,10,,16,1,True,0,0,0,0
002493,,12,70,Buy-中枢内买点,内,11~12,+18%,11,,11,2,True,11,11,12,14
300033,,240,70,Buy-中枢内买点,内,225~251,+8%,221,,11,1,True,225,218,251,277
300142,,12,70,Buy-中枢内买点,内,11~12,+13%,12,,11,1,True,11,10,12,14
600015,,6,70,Hold,内,6~6,-1%,6,,14,1,True,0,0,0,0
600111,,49,70,Sell-二卖,上,46~53,+8%,49,,18,2,True,0,0,0,0
600150,,35,70,Buy-中枢内买点,内,33~36,+7%,36,,13,1,True,33,32,36,40
600362,,47,70,Buy-中枢内买点,内,42~49,+11%,45,,20,2,True,42,41,49,54
601100,,109,70,Sell-一卖,内,108~110,+2%,115,,16,1,True,0,0,0,0
601336,,61,70,Sell-二卖,内,60~65,-14%,59,,13,1,True,0,0,0,0
601398,,7,70,Hold,内,7~7,-6%,7,,12,1,True,0,0,0,0
601939,,9,70,Buy-中枢内买点,内,9~10,+8%,10,,18,2,True,9,9,10,11
603019,,88,70,Hold,内,84~93,+2%,85,,9,1,True,0,0,0,0
603195,,40,70,Hold,内,39~42,-0%,39,,13,1,True,0,0,0,0
603345,,84,70,Hold,内,84~90,+4%,88,,17,1,True,0,0,0,0
603659,,29,70,Sell-二卖,内,25~31,+9%,29,,14,1,True,0,0,0,0
603885,,10,70,Buy-一买,下,10~11,-23%,10,,16,2,True,10,10,11,13
603993,,18,70,Sell-二卖,下,17~20,+3%,19,,17,2,True,0,0,0,0
688005,,33,70,Hold,内,26~34,+17%,32,,12,1,True,0,0,0,0
688188,,150,70,Hold,内,135~156,+14%,157,,13,1,True,0,0,0,0
002601,,17,68,Buy-中枢内买点,内,17~19,-5%,15,,9,1,True,17,16,19,21
600030,,27,68,Buy-中枢内买点,内,27~29,-0%,26,,13,1,True,27,26,29,32
600795,,4,68,Buy-二买,下,4~5,-20%,5,,13,2,True,4,4,5,5
600886,,13,68,Buy-中枢内买点,内,13~13,-2%,13,,16,2,True,13,12,13,15
002129,,9,65,Hold,内,8~9,+13%,9,,14,1,True,0,0,0,0
600026,,22,65,Hold,内,21~23,+91%,18,,15,3,True,0,0,0,0
601001,,18,65,Hold,内,16~19,+36%,19,,10,2,True,0,0,0,0
601998,,7,65,Sell-二卖,内,7~7,-0%,7,,20,1,True,0,0,0,0
002230,,42,78,Hold,-,,-13%,44,,14,0,False,0,0,0,0
000333,,76,73,Sell-一卖,-,,-3%,80,,11,0,False,0,0,0,0
000661,,65,73,Hold,-,,-31%,67,,7,0,False,0,0,0,0
000776,,22,73,Buy-二买,-,,+5%,20,,9,0,False,0,0,0,0
601211,,17,73,Buy-一买,-,,-16%,16,,10,0,False,0,0,0,0
603486,,51,73,Sell-一卖,-,,-35%,57,,14,0,False,0,0,0,0
688041,,337,73,Buy-二买,-,,+57%,296,,14,0,False,0,0,0,0
000733,,56,70,Buy-二买,-,,+14%,53,,12,0,False,0,0,0,0
000977,,64,70,Buy-二买,-,,+1%,62,,15,0,False,0,0,0,0
002460,,71,70,Sell-二卖,-,,+10%,69,,9,0,False,0,0,0,0
300760,,136,70,Hold,-,,-31%,145,,11,0,False,0,0,0,0
600028,,4,70,Hold,-,,-19%,4,,7,0,False,0,0,0,0
600061,,6,70,Buy-一买,-,,-13%,6,,5,0,False,0,0,0,0
600372,,10,70,Buy-一买,-,,-16%,11,,8,0,False,0,0,0,0
601021,,45,70,Sell-二卖,-,,-18%,46,,16,0,False,0,0,0,0
601186,,6,70,Hold,-,,-20%,6,,6,0,False,0,0,0,0
601318,,49,70,Buy-一买,-,,-26%,51,,16,0,False,0,0,0,0
601658,,4,70,Buy-一买,-,,-7%,5,,14,0,False,0,0,0,0
601788,,14,70,Hold,-,,-16%,14,,3,0,False,0,0,0,0
603444,,334,70,Buy-二买,-,,-24%,331,,12,0,False,0,0,0,0
603893,,185,70,Sell-二卖,-,,+6%,175,,17,0,False,0,0,0,0
688008,,266,70,Hold,-,,+121%,248,,9,0,False,0,0,0,0
688169,,92,70,Hold,-,,-40%,103,,8,0,False,0,0,0,0
002415,,34,68,Hold,上,27~31,+19%,31,,9,1,False,0,0,0,0
300750,,395,68,Sell-二卖,上,329~372,+8%,404,,13,1,False,0,0,0,0
300999,,23,68,Buy-一买,-,,-18%,25,,12,0,False,0,0,0,0
600085,,22,68,Hold,-,,-29%,24,,7,0,False,0,0,0,0
600170,,2,68,Buy-一买,-,,-14%,2,,6,0,False,0,0,0,0
600383,,2,68,Hold,-,,-30%,2,,12,0,False,0,0,0,0
600497,,12,68,Hold,上,8~11,+69%,9,,15,2,False,0,0,0,0
600848,,7,68,Sell-二卖,-,,-33%,8,,12,0,False,0,0,0,0
601006,,4,68,Sell-一卖,-,,-10%,5,,8,0,False,0,0,0,0
603369,,24,68,Hold,-,,-30%,25,,8,0,False,0,0,0,0
603392,,27,68,Buy-二买,-,,-42%,31,,11,0,False,0,0,0,0
603517,,9,68,Buy-二买,-,,-26%,12,,11,0,False,0,0,0,0
603986,,705,68,Sell-二卖,-,,+226%,531,,12,0,False,0,0,0,0
688036,,53,68,Buy-二买,-,,-23%,57,,10,0,False,0,0,0,0
688981,,151,68,Buy-三买,上,110~110,+26%,135,,18,1,False,110,106,110,121
002236,,16,65,Buy-一买,下,17~18,-11%,16,,14,2,False,17,17,18,20
002466,,66,65,Hold,上,43~47,+23%,62,,13,1,False,0,0,0,0
002555,,18,65,Buy-一买,下,21~22,-16%,18,,14,2,False,21,20,22,24
600482,,33,65,Buy-二买,上,22~23,+63%,34,,12,1,False,22,21,23,25
600588,,9,65,Sell-一卖,-,,-26%,10,,11,0,False,0,0,0,0
601288,,6,65,Hold,-,,-15%,6,,14,0,False,0,0,0,0
601968,,4,65,Buy-一买,-,,-24%,4,,10,0,False,0,0,0,0
000725,,7,63,Sell-一卖,上,3~4,+76%,6,,17,1,False,0,0,0,0
300347,,43,63,Hold,下,61~61,-15%,39,,11,1,False,0,0,0,0
300394,,325,63,Buy-三买,上,217~276,+105%,317,,14,2,False,217,210,276,304
300408,,145,63,Hold,上,50~53,+227%,138,,10,2,False,0,0,0,0
300433,,52,63,Hold,上,27~32,+83%,45,,11,1,False,0,0,0,0
600016,,3,63,Buy-一买,下,3~4,-12%,3,,14,1,False,3,3,4,4
600276,,50,63,Hold,下,55~57,-17%,48,,15,2,False,0,0,0,0
600352,,12,63,Buy-一买,上,10~10,+19%,11,,9,1,False,10,9,10,11
600989,,22,63,Buy-二买,上,16~17,+24%,23,,13,1,False,16,15,17,19
601162,,3,63,Hold,下,4~4,-18%,3,,11,1,False,0,0,0,0
601360,,8,63,Hold,下,11~13,-14%,9,,17,2,False,0,0,0,0
601901,,7,63,Hold,下,7~7,-8%,6,,13,2,False,0,0,0,0
601958,,27,63,Buy-二买,上,19~26,+84%,25,,13,2,False,19,19,26,29
603290,,139,63,Hold,上,105~114,+47%,122,,13,2,False,0,0,0,0
603589,,18,63,Hold,-,,-39%,20,,8,0,False,0,0,0,0
688200,,439,63,Buy-二买,-,,+261%,317,⚠️,12,0,False,0,0,0,0
000100,,4,60,Sell-二卖,上,4~4,+10%,4,,18,1,False,0,0,0,0
000338,,29,60,Sell-二卖,上,22~25,+67%,31,,16,1,False,0,0,0,0
000938,,27,60,Buy-二买,上,23~26,+12%,27,,13,1,False,23,23,26,28
000963,,28,60,Sell-三卖,下,39~42,-29%,28,,14,1,False,0,0,0,0
002049,,83,60,Hold,上,73~77,+8%,77,,13,1,False,0,0,0,0
002142,,30,60,Buy-一买,上,29~29,+8%,31,,12,1,False,29,28,29,32
002812,,69,60,Hold,上,43~49,+42%,67,,12,1,False,0,0,0,0
002916,,431,60,Sell-一卖,上,189~236,+92%,402,,15,1,False,0,0,0,0
002938,,106,60,Buy-三买,上,47~54,+112%,108,,12,1,False,47,46,54,60
300003,,12,60,Hold,下,16~19,-21%,12,,12,1,False,0,0,0,0
300014,,67,60,Hold,上,59~66,-2%,62,,16,1,False,0,0,0,0
300308,,1312,60,Buy-一买,上,558~598,+113%,1221,⚠️,11,2,False,558,541,598,658
300496,,64,60,Buy-二买,上,60~60,-3%,63,,13,1,False,60,58,60,66
300782,,113,60,Hold,上,77~86,+50%,103,,13,1,False,0,0,0,0
600196,,22,60,Hold,下,26~27,-17%,22,,12,2,False,0,0,0,0
600282,,4,60,Buy-一买,下,4~5,-2%,4,,12,2,False,4,4,5,5
600338,,17,60,Hold,上,12~13,+27%,17,,13,1,False,0,0,0,0
600521,,14,60,Sell-一卖,下,16~18,-14%,14,,14,1,False,0,0,0,0
600867,,8,60,Hold,下,8~8,-1%,7,,10,1,False,0,0,0,0
600900,,26,60,Hold,上,26~26,-3%,27,,11,1,False,0,0,0,0
600919,,11,60,Buy-二买,上,10~10,+11%,11,,14,1,False,10,9,10,11
600977,,13,60,Hold,下,15~19,-11%,14,,12,1,False,0,0,0,0
601117,,8,60,Hold,上,7~7,+6%,7,,9,1,False,0,0,0,0
601138,,76,60,Buy-三买,上,57~67,+27%,74,,15,1,False,57,55,67,74
601198,,13,60,Hold,上,12~13,-7%,12,,10,2,False,0,0,0,0
601818,,3,60,Buy-一买,下,3~3,-11%,3,,12,2,False,3,3,3,3
601868,,2,60,Buy-一买,上,2~2,+13%,2,,8,1,False,2,2,2,2
601988,,6,60,Sell-一卖,上,5~5,+6%,6,,14,1,False,0,0,0,0
601995,,34,60,Hold,下,34~34,-3%,33,,13,2,False,0,0,0,0
603288,,35,60,Hold,下,37~37,-5%,34,,16,1,False,0,0,0,0
688126,,32,60,Buy-一买,上,22~22,+54%,29,,18,2,False,22,21,22,24
688256,,1453,60,Sell-一卖,上,797~1025,+69%,1330,,18,1,False,0,0,0,0
000425,,8,58,Hold,下,10~11,-24%,9,,16,1,False,0,0,0,0
000768,,20,58,Buy-一买,下,23~25,-18%,21,,12,2,False,23,22,25,27
002241,,23,58,Buy-二买,下,29~32,-15%,24,,17,1,False,29,28,32,35
002311,,41,58,Hold,下,54~55,-20%,43,,9,1,False,0,0,0,0
002736,,10,58,Hold,下,11~11,-19%,9,,14,2,False,0,0,0,0
002841,,34,58,Hold,下,36~39,-9%,35,,13,2,False,0,0,0,0
300009,,7,58,Hold,下,8~9,-18%,7,,10,2,False,0,0,0,0
300015,,8,58,Hold,下,11~12,-26%,8,,10,1,False,0,0,0,0
300059,,20,58,Hold,下,25~27,-12%,18,,15,1,False,0,0,0,0
300601,,11,58,Hold,下,16~16,-23%,11,,8,1,False,0,0,0,0
300661,,137,58,Hold,上,69~72,+108%,117,,20,3,False,0,0,0,0
